Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Individual,infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Time
SRR3471621,RNA-Seq,100,3156113800,PRJNA320361,SAMN04932960,2283204068,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1738979,GSM2141236,AF11,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T10:55:00Z,1,GSM2141236,Macrophages,SRP074274,2 hr
SRR3471622,RNA-Seq,100,3034084400,PRJNA320361,SAMN04932961,2209850745,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1738980,GSM2141237,AF11,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:03:00Z,1,GSM2141237,Macrophages,SRP074274,2 hr
SRR3471623,RNA-Seq,100,3585909100,PRJNA320361,SAMN04932962,2597117935,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1738981,GSM2141238,AF11,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T10:56:00Z,1,GSM2141238,Macrophages,SRP074274,2 hr
SRR3471624,RNA-Seq,100,4585421800,PRJNA320361,SAMN04932963,2935161277,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1738982,GSM2141239,AF17,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:09:00Z,1,GSM2141239,Macrophages,SRP074274,2 hr
SRR3471625,RNA-Seq,100,3565885300,PRJNA320361,SAMN04932964,2266760289,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1738983,GSM2141240,AF17,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:30:00Z,1,GSM2141240,Macrophages,SRP074274,2 hr
SRR3471626,RNA-Seq,100,2241425100,PRJNA320361,SAMN04932965,1434243022,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1738984,GSM2141241,AF17,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T10:54:00Z,1,GSM2141241,Macrophages,SRP074274,2 hr
SRR3471627,RNA-Seq,100,4137974500,PRJNA320361,SAMN04932966,2972341267,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1738985,GSM2141242,AF19,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:43:00Z,1,GSM2141242,Macrophages,SRP074274,2 hr
SRR3471628,RNA-Seq,100,2802522700,PRJNA320361,SAMN04939503,2018586020,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1738986,GSM2141243,AF19,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:02:00Z,1,GSM2141243,Macrophages,SRP074274,2 hr
SRR3471629,RNA-Seq,100,3475528600,PRJNA320361,SAMN04932973,2498616102,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1738987,GSM2141244,AF19,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T10:56:00Z,1,GSM2141244,Macrophages,SRP074274,2 hr
SRR3471630,RNA-Seq,100,4355535900,PRJNA320361,SAMN04939504,3150671035,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1738988,GSM2141245,AF21,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T10:59:00Z,1,GSM2141245,Macrophages,SRP074274,2 hr
