"","GeneID","Symbol","Description","Synonyms","GeneType","EnsemblGeneID","Status","ChrAcc","ChrStart","ChrStop","Orientation","Length","GOFunctionID","GOProcessID","GOComponentID","GOFunction","GOProcess","GOComponent"
"WASH7P",653635,"WASH7P","WASP family homolog 7, pseudogene","FAM39F|WASH5P","pseudo","","active","NC_000001.11","14362","29370","negative",1769,"","","","","",""
"LOC100996442",100996442,"LOC100996442","WAS protein family homolog 2-like","","ncRNA","","active","NC_000001.11","89006","267354","negative",4894,"","","","","",""
"LOC729737",729737,"LOC729737","uncharacterized LOC729737","","ncRNA","","active","NC_000001.11","134773","140566","negative",5474,"","","","","",""
"WASH9P",102723897,"WASH9P","WAS protein family homolog 9, pseudogene","","pseudo","","active","NC_000001.11","184878","199860","negative",1761,"","","","","",""
"LOC100132287",100132287,"LOC100132287","uncharacterized LOC100132287","","ncRNA","","active","NC_000001.11","490756","495445","negative",4370,"","","","","",""
"MIR12136",113219467,"MIR12136","microRNA 12136","","ncRNA","","active","NC_000001.11","632615","632685","negative",71,"GO:0030533","GO:0006412","","triplet codon-amino acid adaptor activity","translation",""
"LOC100133331",100133331,"LOC100133331","replaced by ID 100288069","","","","secondary","NC_000001.11","725759","730351","negative",4273,"","","","","",""
"LINC01128",643837,"LINC01128","long intergenic non-protein coding RNA 1128","","ncRNA","ENSG00000228794","active","NC_000001.11","827591","859446","positive",9233,"","","","","",""
"SAMD11",148398,"SAMD11","sterile alpha motif domain containing 11","MRS","protein-coding","ENSG00000187634","active","NC_000001.11","925731","944574","positive",2557,"GO:0003682///GO:0005515///GO:0042393","GO:0045892","GO:0005634","chromatin binding///protein binding///histone binding","negative regulation of DNA-templated transcription","nucleus"
"NOC2L",26155,"NOC2L","NOC2 like nucleolar associated transcriptional repressor","NET15|NET7|NIR|PPP1R112","protein-coding","ENSG00000188976","active","NC_000001.11","944203","959256","negative",2757,"GO:0003682///GO:0003714///GO:0003723///GO:0005515///GO:0031491///GO:0042393///GO:0140297","GO:0000122///GO:0002903///GO:0006915///GO:0034644///GO:0035067///GO:0042273///GO:0045815///GO:2001243","GO:0005634///GO:0005654///GO:0005694///GO:0005730///GO:0005829///GO:0030690///GO:0030691","chromatin binding///transcription corepressor activity///RNA binding///protein binding///nucleosome binding///histone binding///DNA-binding transcription factor binding","negative regulation of transcription by RNA polymerase II///negative regulation of B cell apoptotic process///apoptotic process///cellular response to UV///negative regulation of histone acetylation///ribosomal large subunit biogenesis///transcription initiation-coupled chromatin remodeling///negative regulation of intrinsic apoptotic signaling pathway","nucleus///nucleoplasm///chromosome///nucleolus///cytosol///Noc1p-Noc2p complex///Noc2p-Noc3p complex"
"KLHL17",339451,"KLHL17","kelch like family member 17","AF","protein-coding","ENSG00000187961","active","NC_000001.11","960103","965719","positive",3277,"GO:0005515///GO:0031208///GO:0051015///GO:0060090","GO:0007420///GO:0016567///GO:0030036///GO:0140252","GO:0005615///GO:0014069///GO:0015629///GO:0032839///GO:0043025///GO:0098978","protein binding///POZ domain binding///actin filament binding///molecular adaptor activity","brain development///protein ubiquitination///actin cytoskeleton organization///regulation protein catabolic process at postsynapse","extracellular space///postsynaptic density///actin cytoskeleton///dendrite cytoplasm///neuronal cell body///glutamatergic synapse"
